"V1","V2","V3","V4","V5"
"AJ01","AJ01",NA,"12/12/79 11:50","12/12/79"
"AJ01","AJ01",NA,"5/13/80 11:45","5/13/80"
"AJ01","AJ01",NA,"10/28/80 11:55","10/28/80"
"AJ01","AJ01",NA,"2/26/81 12:20","2/26/81"
"AJ02","ABRN01",NA,"6/27/79 11:36","6/27/79"
"AJ02","ABRN01",NA,"8/6/79 13:35","8/6/79"
"AJ02","ABRN01",NA,"12/12/79 11:30","12/12/79"
"AJ02","ABRN01",NA,"5/13/80 11:25","5/13/80"
"AJ02","ABRN01",NA,"10/28/80 11:52","10/28/80"
"AJ02","ABRN01",NA,"2/26/81 12:10","2/26/81"
"AJ02","ABRN01",NA,"7/29/81 12:45","7/29/81"
"AJ03","ABR070",NA,"6/27/79 11:29","6/27/79"
"AJ03","ABR070",NA,"8/6/79 13:30","8/6/79"
"AJ03","ABR070",NA,"12/12/79 11:30","12/12/79"
"AJ03","ABR070",NA,"5/13/80 11:35","5/13/80"
"AJ03","ABR070",NA,"10/28/80 11:40","10/28/80"
"AJ03","ABR070",NA,"2/26/81 12:00","2/26/81"
"AJ03","ABR070",NA,"7/29/81 12:35","7/29/81"
"AJ04","HAB001",NA,"6/27/79 11:50","6/27/79"
"AJ04","HAB001",NA,"8/6/79 12:45","8/6/79"
"AJ04","HAB001",NA,"12/12/79 11:22","12/12/79"
"AJ04","HAB001",NA,"5/13/80 11:03","5/13/80"
"AJ04","HAB001",NA,"10/28/80 12:00","10/28/80"
"AJ04","HAB001",NA,"2/26/81 11:50","2/26/81"
"AJ04","HAB001",NA,"7/29/81 12:25","7/29/81"
"AJ05","ABR049",NA,"6/27/79 11:11","6/27/79"
"AJ05","ABR049",NA,"8/6/79 14:15","8/6/79"
"AJ05","ABR049",NA,"12/12/79 12:06","12/12/79"
"AJ05","ABR049",NA,"5/13/80 11:55","5/13/80"
"AJ05","ABR049",NA,"10/28/80 11:10","10/28/80"
"AJ05","ABR049",NA,"2/26/81 11:40","2/26/81"
"AJ05","ABR049",NA,"7/29/81 12:15","7/29/81"
"AJ06","ABR036",NA,"6/27/79 10:56","6/27/79"
"AJ06","ABR036",NA,"8/6/79 14:25","8/6/79"
"AJ06","ABR036",NA,"12/12/79 12:28","12/12/79"
"AJ06","ABR036",NA,"5/13/80 12:20","5/13/80"
"AJ06","ABR036",NA,"10/28/80 11:00","10/28/80"
"AJ06","ABR036",NA,"2/26/81 11:05","2/26/81"
"AJ06","ABR036",NA,"7/29/81 11:30","7/29/81"
"AJ07","ABR028",NA,"6/27/79 10:42","6/27/79"
"AJ07","ABR028",NA,"8/6/79 14:40","8/6/79"
"AJ07","ABR028",NA,"12/12/79 13:03","12/12/79"
"AJ07","ABR028",NA,"5/13/80 13:05","5/13/80"
"AJ07","ABR028",NA,"10/28/80 10:45","10/28/80"
"AJ07","ABR028",NA,"2/26/81 10:50","2/26/81"
"AJ07","ABR028",NA,"7/29/81 11:22","7/29/81"
"AJ08","ABR017",NA,"6/27/79 10:33","6/27/79"
"AJ08","ABR017",NA,"8/6/79 14:47","8/6/79"
"AJ08","ABR017",NA,"12/12/79 13:13","12/12/79"
"AJ08","ABR017",NA,"5/13/80 13:13","5/13/80"
"AJ08","ABR017",NA,"10/28/80 10:35","10/28/80"
"AJ08","ABR017",NA,"2/26/81 10:50","2/26/81"
"AJ08","ABR017",NA,"7/29/81 11:15","7/29/81"
"AJ10","ABR006",NA,"6/27/79 10:13","6/27/79"
"AJ10","ABR006",NA,"8/6/79 15:00","8/6/79"
"AJ10","ABR006",NA,"12/12/79 13:34","12/12/79"
"AJ10","ABR006",NA,"5/13/80 13:45","5/13/80"
"AJ10","ABR006",NA,"10/28/80 10:05","10/28/80"
"AJ10","ABR006",NA,"2/26/81 10:15","2/26/81"
"AJ10","ABR006",NA,"7/29/81 10:35","7/29/81"
"AJ11","ABR001",NA,"12/12/79 13:50","12/12/79"
"AJ11","ABR001",NA,"2/26/81 10:10","2/26/81"
"AJ11","ABR001",NA,"7/29/81 10:30","7/29/81"
"MY10","UPL001",NA,"6/27/79 10:00","6/27/79"
"MY10","UPL001",NA,"8/6/79 15:08","8/6/79"
"MY10","UPL001",NA,"12/12/79 14:05","12/12/79"
"MY10","UPL001",NA,"5/13/80 14:10","5/13/80"
"MY10","UPL001",NA,"10/28/80 9:57","10/28/80"
"MY10","UPL001",NA,"2/26/81 10:10","2/26/81"
"MY10","UPL001",NA,"7/29/81 10:15","7/29/81"
"MY11","MYR071",NA,"6/27/79 8:33","6/27/79"
"MY11","MYR071",NA,"8/6/79 15:20","8/6/79"
"MY11","MYR071",NA,"12/12/79 14:14","12/12/79"
"MY11","MYR071",NA,"5/13/80 14:40","5/13/80"
"MY11","MYR071",NA,"10/28/80 9:38","10/28/80"
"MY11","MYR071",NA,"2/26/81 10:00","2/26/81"
"MY11","MYR071",NA,"7/29/81 10:05","7/29/81"
"MY12","MIB001",NA,"6/27/79 8:24","6/27/79"
"MY12","MIB001",NA,"8/6/79 15:15","8/6/79"
"MY12","MIB001",NA,"12/12/79 14:24","12/12/79"
"MY12","MIB001",NA,"5/13/80 14:30","5/13/80"
"MY12","MIB001",NA,"10/28/80 9:45","10/28/80"
"MY12","MIB001",NA,"2/26/81 9:50","2/26/81"
"MY12","MIB001",NA,"7/29/81 10:25","7/29/81"
"MY13","MWRA070",NA,"6/27/79 8:08","6/27/79"
"MY13","MWRA070",NA,"8/6/79 15:30","8/6/79"
"MY13","MWRA070",NA,"5/13/80 14:45","5/13/80"
"MY13","MWRA070",NA,"10/28/80 9:35","10/28/80"
"MY13","MWRA070",NA,"2/26/81 9:40","2/26/81"
"MY13","MWRA070",NA,"7/29/81 9:53","7/29/81"
"MY14","MWRA172",NA,"5/13/80 14:55","5/13/80"
"MY14","MWRA172",NA,"7/29/81 10:00","7/29/81"
"MY15","MWRA061",NA,"6/27/79 8:48","6/27/79"
"MY15","MWRA061",NA,"8/6/79 15:35","8/6/79"
"MY15","MWRA061",NA,"10/28/80 9:30","10/28/80"
"MY15","MWRA061",NA,"2/26/81 9:25","2/26/81"
"MY15","MWRA061",NA,"7/29/81 9:40","7/29/81"
"MY16A","MYR39",NA,"2/26/81 9:30","2/26/81"
"MY17A","MAR036",NA,"6/27/79 9:07","6/27/79"
"MY17A","MAR036",NA,"8/6/79 15:51","8/6/79"
"MY17A","MAR036",NA,"10/28/80 9:13","10/28/80"
"MY17A","MAR036",NA,"2/26/81 9:10","2/26/81"
"MY17A","MAR036",NA,"7/29/81 9:15","7/29/81"
"MY18","MWRA059",NA,"6/27/79 9:35","6/27/79"
"MY18","MWRA059",NA,"8/6/79 16:01","8/6/79"
"MY18","MWRA059",NA,"10/28/80 9:00","10/28/80"
"MY18","MWRA059",NA,"2/26/08 9:00","2/26/08"
"MY18","MWRA059",NA,"7/29/81 9:05","7/29/81"
"HB01","HAB0015",NA,"6/27/79 12:07","6/27/79"
"HB01","HAB0015",NA,"8/6/79 12:15","8/6/79"
"HB01","HAB0015",NA,"12/12/79 11:08","12/12/79"
"HB01","HAB0015",NA,"5/13/80 10:15","5/13/80"
"HB01","HAB0015",NA,"10/28/80 12:14","10/28/80"
"HB01","HAB0015",NA,"2/26/08 12:35","2/26/08"
"HB01","HAB0015",NA,"7/29/81 13:05","7/29/81"
"HB02","HAB002",NA,"6/27/79 12:51","6/27/79"
"HB02","HAB002",NA,"8/6/79 11:45","8/6/79"
"HB02","HAB002",NA,"12/12/79 10:55","12/12/79"
"HB02","HAB002",NA,"5/13/80 10:50","5/13/80"
"HB02","HAB002",NA,"10/28/80 12:10","10/28/80"
"HB02","HAB002",NA,"2/26/08 12:45","2/26/08"
"HB02","HAB002",NA,"7/29/81 13:10","7/29/81"
"AJT02","SWBB",NA,"6/27/79 10:50","6/27/79"
"AJT02","SWBB",NA,"8/6/79 14:30","8/6/79"
"AJT02","SWBB",NA,"12/12/79 12:54","12/12/79"
"AJT02","SWBB",NA,"5/13/80 12:30","5/13/80"
"AJT02","SWBB",NA,"10/28/80 10:55","10/28/80"
"AJT02","SWBB",NA,"2/26/08 11:00","2/26/08"
"AJT03","HOB103",NA,"2/26/08 10:20","2/26/08"
"AJT04","SHBTRIB",NA,"10/28/80 10:25","10/28/80"
"AJT04","SHBTRIB",NA,"2/26/08 10:35","2/26/08"
"AJT04","SHBTRIB",NA,"7/29/81 11:00","7/29/81"
"AJT05","CUBLEX",NA,"10/28/80 10:30","10/28/80"
"AJT05","CUBLEX",NA,"2/26/08 10:40","2/26/08"
"AJT05","CUBLEX",NA,"7/29/81 11:05","7/29/81"
"HBT01","HBT01",NA,"6/27/79 13:30","6/27/79"
"HBT01","HBT01",NA,"8/6/79 11:06","8/6/79"
"HBT01","HBT01",NA,"12/12/79 10:00","12/12/79"
"HBT01","HBT01",NA,"5/13/80 8:15","5/13/80"
"HBT01","HBT01",NA,"10/28/80 13:10","10/28/80"
"HBT01","HBT01",NA,"2/26/08 13:30","2/26/08"
"HBT01","HBT01",NA,"7/29/81 14:00","7/29/81"
"HBT02","HBT02",NA,"6/27/79 13:35","6/27/79"
"HBT02","HBT02",NA,"12/12/79 9:45","12/12/79"
"HBT02","HBT02",NA,"5/13/80 7:35","5/13/80"
"HBT02","HBT02",NA,"10/28/80 12:40","10/28/80"
"HBT02","HBT02",NA,"2/26/08 13:14","2/26/08"
"HBT02","HBT02",NA,"7/29/81 13:45","7/29/81"
"HBT03","HBT03",NA,"5/13/80 9:10","5/13/80"
"HBT03","HBT03",NA,"10/28/80 13:15","10/28/80"
"HBT03","HBT03",NA,"2/26/81 13:45","2/26/81"
"HBT05","HBT05",NA,"6/27/79 13:10","6/27/79"
"HBT05","HBT05",NA,"8/6/79 11:28","8/6/79"
"HBT05","HBT05",NA,"12/12/79 10:35","12/12/79"
"HBT05","HBT05",NA,"5/13/80 9:40","5/13/80"
"HBT05","HBT05",NA,"10/28/80 12:30","10/28/80"
"HBT05","HBT05",NA,"2/26/81 13:00","2/26/81"
"HBT05","HBT05",NA,"7/29/81 13:15","7/29/81"
"HBT06","HBT06",NA,"6/27/79 13:00","6/27/79"
"HBT06","HBT06",NA,"8/6/79 11:30","8/6/79"
"HBT06","HBT06",NA,"12/12/79 10:45","12/12/79"
"HBT06","HBT06",NA,"5/13/80 10:00","5/13/80"
"HBT06","HBT06",NA,"10/28/80 12:20","10/28/80"
"HBT06","HBT06",NA,"2/26/81 12:50","2/26/81"
"HBT06","HBT06",NA,"7/29/81 13:15","7/29/81"
"HBT07","HBT07",NA,"6/27/79 13:00","6/27/79"
"HBT07","HBT07",NA,"5/13/80 9:50","5/13/80"
"HBT07","HBT07",NA,"10/28/80 12:35","10/28/80"
"HBT07","HBT07",NA,"2/26/81 13:02","2/26/81"
"HBT08","HBT08",NA,"6/27/79 12:09","6/27/79"
"HBT08","HBT08",NA,"8/6/79 12:20","8/6/79"
"HBT08","HBT08",NA,"12/12/79 11:13","12/12/79"
"HBT08","HBT08",NA,"5/13/80 10:25","5/13/80"
"HBT08","HBT08",NA,"10/28/80 12:14","10/28/80"
"HBT08","HBT08",NA,"2/26/81 12:40","2/26/81"
"HBT08","HBT08",NA,"7/29/81 13:05","7/29/81"
