"OriginalLocationID","LocationID","Datetime","TOTAL PHOSPHORUS DATA  "
"AJ01","AJ01","8/6/79","0.54"
"AJ01","AJ01","12/12/79","0.14"
"AJ01","AJ01","5/13/80","0.08"
"AJ01","AJ01","10/28/80","0.13"
"AJ01","AJ01","2/26/81","0.12"
"AJ02","ABRN01","6/27/79","0.12"
"AJ02","ABRN01","8/6/79","0.33"
"AJ02","ABRN01","12/12/79","0.05"
"AJ02","ABRN01","5/13/80","0.1"
"AJ02","ABRN01","10/28/80","0.1"
"AJ02","ABRN01","2/26/81","0.08"
"AJ02","ABRN01","7/29/81","0.09"
"AJ03","ABR070","6/27/79","0.11"
"AJ03","ABR070","8/6/79","0.08"
"AJ03","ABR070","12/12/79","0.01"
"AJ03","ABR070","5/13/80","0.12"
"AJ03","ABR070","10/28/80","0.18"
"AJ03","ABR070","2/26/81","0.08"
"AJ03","ABR070","7/29/81","0.07"
"AJ04","HAB001","6/27/79","0.08"
"AJ04","HAB001","8/6/79","0.04"
"AJ04","HAB001","12/12/79","0.01"
"AJ04","HAB001","5/13/80","0.14"
"AJ04","HAB001","10/28/80","0.1"
"AJ04","HAB001","2/26/81","0.08"
"AJ04","HAB001","7/29/81","0.07"
"AJ05","ABR049","6/27/79","0.15"
"AJ05","ABR049","8/6/79","0.18"
"AJ05","ABR049","12/12/79","0.07"
"AJ05","ABR049","5/13/80","0.06"
"AJ05","ABR049","10/28/80","0.08"
"AJ05","ABR049","2/26/81","0.08"
"AJ05","ABR049","7/29/81","0.06"
"AJ06","ABR036","6/27/79","0.09"
"AJ06","ABR036","8/6/79","0.12"
"AJ06","ABR036","12/12/79","0.05"
"AJ06","ABR036","5/13/80","0.08"
"AJ06","ABR036","10/28/80","0.1"
"AJ06","ABR036","2/26/81","0.14"
"AJ06","ABR036","7/29/81","0.09"
"AJ07","ABR028","6/27/79","0.14"
"AJ07","ABR028","8/6/79","0.16"
"AJ07","ABR028","12/12/79","0.04"
"AJ07","ABR028","5/13/80","0.24"
"AJ07","ABR028","10/28/80","0.28"
"AJ07","ABR028","2/26/81","0.12"
"AJ07","ABR028","7/29/81","0.09"
"AJ08","ABR017","6/27/79","0.13"
"AJ08","ABR017","8/6/79","0.17"
"AJ08","ABR017","12/12/79","0.04"
"AJ08","ABR017","5/13/80","0.12"
"AJ08","ABR017","10/28/80","0.18"
"AJ08","ABR017","2/26/81","0.14"
"AJ08","ABR017","7/29/81","0.11"
"AJ10","ABR006","6/27/79","0.03"
"AJ10","ABR006","8/6/79","0.11"
"AJ10","ABR006","12/12/79","0.04"
"AJ10","ABR006","5/13/80","0.1"
"AJ10","ABR006","10/28/80","0.13"
"AJ10","ABR006","2/26/81","0.14"
"AJ10","ABR006","7/29/81","0.08"
"AJ11","ABR001","12/12/79","0.04"
"AJ11","ABR001","5/13/80","0.08"
"AJ11","ABR001","2/26/81","0.14"
"AJ11","ABR001","7/29/81","0.08"
"MY10","UPL001","6/27/79","0.02"
"MY10","UPL001","8/6/79","0.19"
"MY10","UPL001","12/12/79","0.01"
"MY10","UPL001","5/13/80","0.34"
"MY10","UPL001","10/28/80","0.1"
"MY10","UPL001","2/26/81","0.1"
"MY10","UPL001","7/29/81","0.05"
"MY11","MYR071","6/27/79","0.06"
"MY11","MYR071","8/6/79","0.18"
"MY11","MYR071","12/12/79","0.03"
"MY11","MYR071","5/13/80","0.16"
"MY11","MYR071","10/28/80","0.1"
"MY11","MYR071","2/26/81","0.1"
"MY11","MYR071","7/29/81","0.06"
"MY12","MIB001","6/27/79","0.06"
"MY12","MIB001","8/6/79","0.1"
"MY12","MIB001","12/12/79","0.02"
"MY12","MIB001","5/13/80","0.18"
"MY12","MIB001","10/28/80","0.1"
"MY12","MIB001","2/26/81","0.14"
"MY12","MIB001","7/29/81","0.15"
"MY13","MWRA070","6/27/79","0.34"
"MY13","MWRA070","8/6/79","0.3"
"MY13","MWRA070","5/13/80","0.28"
"MY13","MWRA070","10/28/80","0.3"
"MY13","MWRA070","2/26/81","0.34"
"MY13","MWRA070","7/29/81","0.16"
"MY14","MWRA172","5/13/80","0.8"
"MY14","MWRA172","7/29/81","0.18"
"MY15","MWRA061","6/27/79","0.2"
"MY15","MWRA061","8/6/79","0.15"
"MY15","MWRA061","10/28/80","0.15"
"MY15","MWRA061","2/26/81","0.18"
"MY15","MWRA061","7/29/81","0.16"
"MY16A","MYR39","2/26/81","0.46"
"MY17A","MAR036","6/27/79","0.1"
"MY17A","MAR036","8/6/79","0.32"
"MY17A","MAR036","10/28/80","0.15"
"MY17A","MAR036","2/26/81","0.4"
"MY17A","MAR036","7/29/81","0.13"
"MY18","MWRA059","6/27/79","0.13"
"MY18","MWRA059","8/6/79","0.22"
"MY18","MWRA059","10/28/80","0.2"
"MY18","MWRA059","2/26/81","0.26"
"MY18","MWRA059","7/29/81","0.18"
"HB01","HAB0015","6/27/79","0.09"
"HB01","HAB0015","8/6/79","0.05"
"HB01","HAB0015","12/12/79","0.06"
"HB01","HAB0015","5/13/80","14"
"HB01","HAB0015","10/28/80","0.1"
"HB01","HAB0015","2/26/81","0.1"
"HB01","HAB0015","7/29/81","0.06"
"HB02","HAB002","6/27/79","0.09"
"HB02","HAB002","8/6/79","0.1"
"HB02","HAB002","12/12/79","0.01"
"HB02","HAB002","5/13/80","0.08"
"HB02","HAB002","10/28/80","0.2"
"HB02","HAB002","2/26/81","0.06"
"HB02","HAB002","7/29/81","0.07"
"AJT02","SWBB","6/27/1979","1.6"
"AJT02","SWBB","8/6/1979","0.44"
"AJT02","SWBB","12/12/1979","0.03"
"AJT02","SWBB","5/13/1980","0.64"
"AJT02","SWBB","10/28/1980","2.5"
"AJT02","SWBB","2/26/1981","0.16"
"AJT02","SWBB","7/29/1981","0.38"
"AJT03","HOB103","10/28/1980","0.2"
"AJT03","HOB103","2/26/1981","0.08"
"AJT04","SHBTRIB","10/28/1980","0.1"
"AJT04","SHBTRIB","2/26/1981","0.08"
"AJT04","SHBTRIB","7/29/1981","0.07"
"AJT05","CUBLEX","10/28/1980","0.1"
"AJT05","CUBLEX","2/26/1981","0.18"
"AJT05","CUBLEX","7/29/1981","0.06"
"HBT01","HBT01","6/27/1979","0.03"
"HBT01","HBT01","12/12/1979","0.11"
"HBT01","HBT01","5/13/1980","0.04"
"HBT01","HBT01","10/28/1980","0.1"
"HBT01","HBT01","2/26/1981","0.1"
"HBT01","HBT01","7/29/1981","0.03"
"HBT02","HBT02","6/27/1979","0.18"
"HBT02","HBT02","12/12/1979","0.19"
"HBT02","HBT02","5/13/1980","0.28"
"HBT02","HBT02","10/28/1980","0.18"
"HBT02","HBT02","2/26/1981","0.12"
"HBT02","HBT02","7/29/1981","0.37"
"HBT03","HBT03","5/13/1980","0.04"
"HBT03","HBT03","10/28/1980","0.15"
"HBT03","HBT03","2/26/1981","0.1"
"HBT05","HBT05","6/27/1979","0.19"
"HBT05","HBT05","8/6/1979","0.12"
"HBT05","HBT05","12/12/1979","0.09"
"HBT05","HBT05","5/13/1980","0.18"
"HBT05","HBT05","10/28/1980","0.15"
"HBT05","HBT05","2/26/1981","0.12"
"HBT05","HBT05","7/29/1981","0.12"
"HBT06","HBT06","6/27/1979","0.07"
"HBT06","HBT06","8/6/1979","0.04"
"HBT06","HBT06","12/12/1979","0.05"
"HBT06","HBT06","5/13/1980","0.12"
"HBT06","HBT06","10/28/1980","0.15"
"HBT06","HBT06","2/26/1981","0.38"
"HBT06","HBT06","7/29/1981","0.07"
"HBT07","HBT07","5/13/1980","0.26"
"HBT07","HBT07","10/28/1980","0.4"
"HBT07","HBT07","2/26/1981","0.26"
"HBT08","HBT08","6/27/1979","0.09"
"HBT08","HBT08","8/6/1979","0.05"
"HBT08","HBT08","12/12/1979","0.07"
"HBT08","HBT08","5/13/1980","7.6"
"HBT08","HBT08","10/28/1980","0.13"
"HBT08","HBT08","2/26/1981","0.14"
"HBT08","HBT08","7/29/1981","0.06"
