"OriginalLocationID","LocationID","Datetime","TOTAL COLIFORM BACTERIA DATA"
"AJ01","AJ01","8/6/79","4,000"
"AJ01","AJ01","12/12/79","20"
"AJ01","AJ01","5/13/80","8,000"
"AJ01","AJ01","10/28/80","700"
"AJ01","AJ01","2/26/81","3,300"
"AJ02","ABRN01","6/27/79","3,000"
"AJ02","ABRN01","8/6/79","1,300"
"AJ02","ABRN01","12/12/79","30"
"AJ02","ABRN01","5/13/80","600"
"AJ02","ABRN01","10/28/80","5,400"
"AJ02","ABRN01","2/26/81","1,000"
"AJ02","ABRN01","7/29/81","7,500"
"AJ03","ABR070","6/27/79","100"
"AJ03","ABR070","8/6/79","4,000"
"AJ03","ABR070","12/12/79","600"
"AJ03","ABR070","5/13/80","1,000"
"AJ03","ABR070","10/28/80","4,100"
"AJ03","ABR070","2/26/81","800"
"AJ03","ABR070","7/29/81","2,500"
"AJ04","HAB001","6/27/79","1,100"
"AJ04","HAB001","8/6/79","7,000"
"AJ04","HAB001","12/12/79","60"
"AJ04","HAB001","5/13/80","1,000"
"AJ04","HAB001","10/28/80","6,000"
"AJ04","HAB001","2/26/81","400"
"AJ04","HAB001","7/29/81","9,000"
"AJ05","ABR049","6/27/79","5,000"
"AJ05","ABR049","8/6/79","1,200"
"AJ05","ABR049","12/12/79","80"
"AJ05","ABR049","5/13/80","2,100"
"AJ05","ABR049","10/28/80","1,500"
"AJ05","ABR049","2/26/81","700"
"AJ05","ABR049","7/29/81","10,000"
"AJ06","ABR036","6/27/79","3,000"
"AJ06","ABR036","8/6/79","3,200"
"AJ06","ABR036","12/12/79","140"
"AJ06","ABR036","5/13/80","10,000"
"AJ06","ABR036","10/28/80","9,000"
"AJ06","ABR036","2/26/81","3,700"
"AJ06","ABR036","7/29/81","23,000"
"AJ07","ABR028","6/27/79","200,000"
"AJ07","ABR028","8/6/79","6,000"
"AJ07","ABR028","12/12/79","500"
"AJ07","ABR028","5/13/80","72,000"
"AJ07","ABR028","10/28/80","180,000"
"AJ07","ABR028","2/26/81","13,300"
"AJ07","ABR028","7/29/81","20,000"
"AJ08","ABR017","6/27/79","50,000"
"AJ08","ABR017","8/6/79","5,000"
"AJ08","ABR017","12/12/79","600"
"AJ08","ABR017","5/13/80","35,000"
"AJ08","ABR017","10/28/80","50,000"
"AJ08","ABR017","2/26/81","16,000"
"AJ08","ABR017","7/29/81","65,000"
"AJ10","ABR006","6/27/79","4,800"
"AJ10","ABR006","8/6/79","800"
"AJ10","ABR006","12/12/79","600"
"AJ10","ABR006","5/13/80","20,000"
"AJ10","ABR006","10/28/80","31,000"
"AJ10","ABR006","2/26/81","15,000"
"AJ10","ABR006","7/29/81","9,800"
"AJ11","ABR001","12/12/79","400"
"AJ11","ABR001","5/13/80","700"
"AJ11","ABR001","2/26/81","13,000"
"AJ11","ABR001","7/29/81","7,800"
"MY10","UPL001","6/27/79","100"
"MY10","UPL001","8/6/79","100"
"MY10","UPL001","12/12/79","70"
"MY10","UPL001","5/13/80","600"
"MY10","UPL001","10/28/80","2,800"
"MY10","UPL001","2/26/81","3,500"
"MY10","UPL001","7/29/81","300"
"MY11","MYR071","6/27/79","1,600"
"MY11","MYR071","8/6/79","740"
"MY11","MYR071","12/12/79","1,600"
"MY11","MYR071","5/13/80","180,000"
"MY11","MYR071","10/28/80","1,300"
"MY11","MYR071","2/26/81","700"
"MY11","MYR071","7/29/81","18,000"
"MY12","MIB001","6/27/79","4,500"
"MY12","MIB001","8/6/79","930"
"MY12","MIB001","12/12/79","10,000"
"MY12","MIB001","5/13/80","85,000"
"MY12","MIB001","10/28/80","14,000"
"MY12","MIB001","2/26/81","3,000"
"MY12","MIB001","7/29/81","48,000"
"MY13","MWRA070","6/27/79","35,000"
"MY13","MWRA070","8/6/79","1,200"
"MY13","MWRA070","5/13/80","1,200,000"
"MY13","MWRA070","10/28/80","400,000"
"MY13","MWRA070","2/26/81","150,000"
"MY13","MWRA070","7/29/81","26,000"
"MY14","MWRA172","5/13/80","5,000,000"
"MY14","MWRA172","7/29/81","10,000"
"MY15","MWRA061","6/27/79","1,400"
"MY15","MWRA061","8/6/79","850"
"MY15","MWRA061","10/28/80","18,000"
"MY15","MWRA061","2/26/81","46,000"
"MY15","MWRA061","7/29/81","13,000"
"MY16A","MYR39","2/26/81","400,000"
"MY17A","MAR036","6/27/79","500"
"MY17A","MAR036","8/6/79","700"
"MY17A","MAR036","10/28/80","35,000"
"MY17A","MAR036","2/26/81","250,000"
"MY17A","MAR036","7/29/81","35,000"
"MY18","MWRA059","6/27/79","50"
"MY18","MWRA059","8/6/79","1,300"
"MY18","MWRA059","10/28/80","15,000"
"MY18","MWRA059","2/26/81","38,000"
"MY18","MWRA059","7/29/81","6,500"
"HB01","HAB0015","6/27/79","400"
"HB01","HAB0015","8/6/79","7,000"
"HB01","HAB0015","12/12/79","100"
"HB01","HAB0015","5/13/80","11,000"
"HB01","HAB0015","10/28/80","2,000"
"HB01","HAB0015","2/26/81","200"
"HB01","HAB0015","7/29/81","7,000"
"HB02","HAB002","6/27/79","200"
"HB02","HAB002","8/6/79","900"
"HB02","HAB002","5/13/80","1,200"
"HB02","HAB002","10/28/80","3,500"
"HB02","HAB002","2/26/81","200"
"HB02","HAB002","7/29/81","1,000"
"AJT02","SWBB","6/27/79","9,500,000"
"AJT02","SWBB","8/6/79","50,000"
"AJT02","SWBB","12/12/79","9,500"
"AJT02","SWBB","5/13/80","200,000"
"AJT02","SWBB","10/28/80","4,200,000"
"AJT02","SWBB","2/26/81","80,000"
"AJT02","SWBB","7/29/81","300,000"
"AJT03","HOB103","10/28/80","40,000"
"AJT03","HOB103","2/26/81","500"
"AJT04","SHBTRIB","10/28/80","900"
"AJT04","SHBTRIB","2/26/81","1,200"
"AJT04","SHBTRIB","7/29/81","6300"
"AJT05","CUBLEX","10/28/80","4,800"
"AJT05","CUBLEX","2/26/81","3000"
"AJT05","CUBLEX","7/29/81","6800"
"HBT01","HBT01","6/27/79","100"
"HBT01","HBT01","5/13/80","400"
"HBT01","HBT01","10/28/80","400"
"HBT01","HBT01","2/26/81","100"
"HBT01","HBT01","7/29/81","500"
"HBT02","HBT02","6/27/79","1,200"
"HBT02","HBT02","5/13/80","6,000"
"HBT02","HBT02","10/28/80","700"
"HBT02","HBT02","2/26/81","<20"
"HBT02","HBT02","7/29/81","61,000"
"HBT03","HBT03","5/13/80","490"
"HBT03","HBT03","10/28/80","600"
"HBT03","HBT03","2/26/81","<20"
"HBT05","HBT05","6/27/79","100"
"HBT05","HBT05","8/6/79","500"
"HBT05","HBT05","5/13/80","850"
"HBT05","HBT05","10/28/80","2,400"
"HBT05","HBT05","2/26/81","<20"
"HBT05","HBT05","7/29/81","11,000"
"HBT06","HBT06","6/27/79","1,000"
"HBT06","HBT06","8/6/79","500"
"HBT06","HBT06","5/13/80","200"
"HBT06","HBT06","10/28/80","1,100"
"HBT06","HBT06","2/26/81","2,300"
"HBT06","HBT06","7/29/81","16,000"
"HBT07","HBT07","6/27/79","100"
"HBT07","HBT07","5/13/80","160"
"HBT07","HBT07","10/28/80","700"
"HBT07","HBT07","2/26/81","4,000"
"HBT08","HBT08","6/27/79","400"
"HBT08","HBT08","8/6/79","1,100"
"HBT08","HBT08","5/13/80","1,100"
"HBT08","HBT08","10/28/80","2,800"
"HBT08","HBT08","2/26/81","80"
"HBT08","HBT08","7/29/81","15,000"
